Kategori,Julat Awal Gaji,Julat Akhir Gaji,Kadar Gaji Lapisan Pertama,Kadar Cukai Lapisan Pertama,Kadar Gaji Lapisan Kedua,Kadar Cukai Lapisan Kedua,Kadar Rebat Cukai Tahunan (A & C),Kadar Rebat Cukai Tahunan (B)
A,0,"5,000",-,-,0,0,400,800
B,"5,001","20,000","5,000",-,"15,000",0.01,400,800
C,"20,001","35,000","20,000",150,"15,000",0.03,400,800
D,"35,001","50,000","35,000",600,"15,000",0.06,0,0
E,"50,001","70,000","50,000","1,500","20,000",0.11,0,0
F,"70,001","100,000","70,000","3,700","30,000",0.19,0,0
G,"100,001","400,000","100,000","9,400","300,000",0.25,0,0
H,"400,001","600,000","400,000","84,400","200,000",0.26,0,0
I,"600,001","2,000,000","600,000","136,400","1,400,000",0.28,0,0
J,"2,000,000","100,000,000","2,000,000","528,400",,0.3,0,0
